Category;WordPhrase;Transcription;Translate;Example;CreateDate
Dictionary;deflate;;выпускать воздух, газ, спускать (о чем-л. накачанном воздухом или газом);to deflate his ego with cutting remarks — унижая его язвительными замечаниями;28.11.2015
Dictionary;dehydrate;;обезвоживать;;28.11.2015
Dictionary;dehydrated;;обезвоженный;;28.11.2015
Dictionary;delicious;;восхитительный, прелестный, очаровательный;a green delicious plain — прелестная зеленая равнина;28.11.2015
Dictionary;delight;;удовлетворение, удовольствие, наслаждение, развлечение;to take delight in smth./ in doing smth. / to do smth. — получать удовольствие от чего-л., наслаждаться чем-л.;28.11.2015
Dictionary;deliver;;освобождать, избавлять;And lead us not into temptation, but deliver us from evil. (Bible, King James Version, Matthew 6:13) — И не введи нас в искушение, но избавь нас от лукавого. (Библия, Евангелие от Матфея, гл. 6, ст. 13);28.11.2015
Dictionary;demand;;официальное требование, официальный запрос;excessive, exorbitant demand — чрезмерные требования;28.11.2015
Dictionary;democracy;;демократия, власть народа;We are called a democracy, for the administration is in the hands of the many and not of the few. — Мы называемся демократическим государством, так как власть находится в руках большинства, а не маленькой кучки людей.;28.11.2015
Dictionary;democratic;;демократический, демократичный;;28.11.2015
Dictionary;density;;густота, плотность, сосредоточенность (определенного количества каких-либо единиц в определенном районе), концентрация;population density — плотность населения;28.11.2015
Dictionary;departure;;отъезд, уход;sudden departure — поспешный уход, отъезд;28.11.2015
Dictionary;dependence;;зависимость (от кого-л. / чего-л. - on, upon);Her child was sole dependence for her. — Ребенок был для нее единственной опорой.;28.11.2015
Dictionary;dependent;;материально зависимое лицо;The leaves assumed their nocturnal dependent position. — На ночь листья обвисли (приняли обвисшее положение).;28.11.2015
Dictionary;depreciate;;снижать, уменьшать;to depreciate the currency — обесценивать валюту;28.11.2015
Dictionary;depression;;книжн. нажатие вниз, придавливание;Movements of upheaval or depression. — Движение вверх и вниз.;28.11.2015
Dictionary;derivative;;дериват, производное (происшедшее от чего-л. ранее существовавшего);derivative on the left — левая производная;28.11.2015
Dictionary;designation;;обозначение, называние, указание;The designation of the time would have been more determinate. — Указание времени должно было бы быть более определенным.;28.11.2015
Dictionary;desirable;;желанный, желательный;it is desirable — желательно;28.11.2015
Dictionary;desire;;(страстное) желание , жажда (чего-л. - for), вожделение, страсть;animal desire — животная страсть;28.11.2015
Dictionary;desired;;желательный, желанный, приятный;;28.11.2015
Dictionary;destruction;;разрушение, уничтожение;complete, total, utter destruction — полное уничтожение;28.11.2015
Dictionary;detect;;замечать, открывать, обнаруживать;to detect a target — обнаружить цель;28.11.2015
Dictionary;deteriorate;;ухудшать, портить, повреждать;His health deteriorated. — Его здоровье ухудшилось.;28.11.2015
Dictionary;determination;;решение, приговор тж. юр.;the final determination — окончательное решение;28.11.2015
Dictionary;determine;;определять, устанавливать (с помощью расчетов, рассуждений, проведения расследования и т. п.);to determine the answer to the problem — определить ответ на поставленный вопрос;28.11.2015
Dictionary;determined;;решительный, твердый, непоколебимый, стойкий, непреклонный, недрогнувший;a determined resolution — твердая решимость;28.11.2015
Dictionary;development;;развитие, расширение, развертывание, рост, эволюция;How slow is the development of heat. — Нагрев всегда идет очень медленно.;28.11.2015
Dictionary;dichromatic;;двухцветный;;28.11.2015
Dictionary;differ;;отличаться (от кого-л., чего-л., в чем-л.), различаться (чем-л.);She differs from her sister in the colour of her eyes. — У ее сестры другой цвет глаз.;28.11.2015
Dictionary;direct;;прямой;The streets are in a direct line, and of a convenient breadth. — Улицы прямые и достаточной ширины.;28.11.2015
Dictionary;disappoint;;уст. лишать (чего-л.), отбирать (что-л.);It disappointed everyone that she did not win the prize. — Все были разочарованы, когда узнали, что она не выиграла приз.;28.11.2015
Dictionary;disappointing;[ˌdɪsəˈpɔɪntɪŋ];неутешительный, разочаровывающий, печальный;It is disappointing to analyze the results. — Анализ результатов неутешителен.;28.11.2015
Dictionary;disarrange;;дезорганизовать, нарушать, расстраивать;;28.11.2015
Dictionary;disassemble;;разбирать, демонтировать;;28.11.2015
Dictionary;disclose;;выявлять, обнаруживать, открывать, разоблачать, раскрывать;The authorities finally disclosed the facts to the press. — В конце концов власти обнародовали эти факты.;28.11.2015
Dictionary;discussion;;подробное обсуждение (проблемы, вопроса), всестороннее исследование;under discussion — на обсуждении;28.11.2015
Dictionary;disease;;болезнь;to come down with disease, to contract a disease — заболеть;28.11.2015
Dictionary;disguise;;одежда для маскировки;to assume a disguise — маскироваться;28.11.2015
Dictionary;disgust;;отвращение, омерзение (at, with);to express disgust — выражать отвращение;28.11.2015
Dictionary;dishonoured;;обесчещенный, опозоренный;;28.11.2015
Dictionary;dislocate;;передвигать, смещать (лишать обычного местонахождения);;28.11.2015
Dictionary;disloyal;;нелояльный, неблагожелательный (to);a disloyal wife — неверная жена;28.11.2015
Dictionary;dismiss;;объявлять какое-л. собрание (школьный урок, университетское занятие, собрание, заседание и т. п.) закрытым;He was dismissed as incompetent. — Его уволили за некомпетентность.;28.11.2015
Dictionary;disorder;;беспорядок, беспорядочность, непорядок;violent disorders — яростный бунт;28.11.2015
Dictionary;disposal;;право распоряжаться;The car was at my disposal. — Автомобиль был в моем распоряжении.;28.11.2015
Dictionary;dispose;;помещать, размещать, располагать, распределять, расставлять;disposing troops for withdrawal — расположить войска для отступления;28.11.2015
Dictionary;dissimilar;;непохожий, несходный, отличный, различный (to), разнородный, неоднородный;;28.11.2015
Dictionary;distinctly;;отчетливо, четко, ясно;distinctly audible — отчетливо слышный;28.11.2015
Dictionary;distinguished;;выдающийся, знаменитый, известный, прославленный (чем-л. - for);;28.11.2015
Dictionary;distort;;искажать, искривлять, изгибать, коверкать, перекашивать, лишать формы, деформировать;to distort the image — искажать изображение;28.11.2015
Dictionary;distract;;отвлекать (внимание, мысли и т. п.);to distract the attention — отвлекать внимание;28.11.2015
Dictionary;distracted;;растерянный, смущенный;to settle the distracted affairs — улаживать расстроенные дела;28.11.2015
Dictionary;disturb;;беспокоить, волновать, мешать, тревожить;Lord Granville says that I have disturbed the sleeping lion. (Marquis of Salisbury) — Лорд Гренвил говорит, что я потревожил спящего льва. (Маркиз Р.А.Т. Солсбери);28.11.2015
Dictionary;diverse;;иной, отличный от чего-л., различный, несходный;;28.11.2015
Dictionary;diversity;;разнообразие, многообразие, многообразность, разнородность;People have diversities of taste. — Вкусы людей очень различны.;28.11.2015
Dictionary;divert;;отводить, отклонять, направлять в другую сторону;To prevent flooding, we shall have to divert the river from its course. — Чтобы устранить опасность затопления, нам придется отвести реку в другое русло.;28.11.2015
Dictionary;division;;деление, разделение, распределение;There is a division of the course into 32 lessons. — Весь курс разделен на 32 урока.;28.11.2015
Dictionary;dominate;;господствовать, властвовать;Powerful nations usually dominate over small weak countries. — Большие государства обычно доминируют над слабыми странами.;28.11.2015
Dictionary;dramatically;;эффектно, ярко, заметно, впечатляюще;Meditation dramatically changes body temperatures. — Медитация заметно меняет температуру тела.;28.11.2015
Dictionary;economic;;экономический, народнохозяйственный, хозяйственный, относящийся к сфере экономики;;28.11.2015
Dictionary;economical;;бережливый, расчетливый, экономичный, экономный;it's more economical to go by bus — дешевле ездить на автобусе;28.11.2015
Dictionary;economize;;экономить;I'd rather economize on holidays than food. — Я лучше буду экономить на отпуске, чем на еде.;28.11.2015
Dictionary;educational;;образовательный, воспитательный, педагогический, учебный;educational film — учебный фильм;28.11.2015
Dictionary;effective;;действенный, результативный, эффективный (against, in);the first effective shot — первый результативный выстрел;28.11.2015
Dictionary;electrocute;;убивать электрическим током;A girl electrocuted herself when she got into a bath wearing electric hair curlers. — Девушку убило электрическим током, когда она стала принимать ванну в электробигудях.;28.11.2015
Dictionary;emerge;;появляться, всплывать, выходить;A hand holding the magic sword emerged from the lake. — Из озера появилась рука, держащая волшебный меч.;28.11.2015
Dictionary;emergency;;критическое положение, авария;ready for all emergencies — готовый ко всем неожиданностям;28.11.2015
Dictionary;empathize;;сопереживать, проникаться чувствами другого человека;;28.11.2015
Dictionary;empathy;;эмпатия, сочувствие, сопереживание (with);to feel empathy — сочувствовать;28.11.2015
Dictionary;emphasis;;выразительность, сила, ударение, эмфаза;particular, special emphasis — особое значение;28.11.2015
Dictionary;emphasize;;придавать особое значение, подчеркивать, акцентировать;She emphasized its importance to me. — Она подчеркнула, как это важно для меня.;28.11.2015
Dictionary;employee;;служащий, работающий по найму;number of employees — число занятых;28.11.2015
Dictionary;employer;;предприниматель, наниматель, работодатель;employer of labour — наниматель рабочей силы;28.11.2015
Dictionary;encourage;;ободрять, поощрять, поддерживать (в чём-л.);Is it kind to encourage the singer in her hopes? — Хорошо ли будет, если мы будем поддерживать надежды певицы?;28.11.2015
Dictionary;endanger;;подвергать опасности;;28.11.2015
Dictionary;endangered;;находящийся под угрозой исчезновения (о виде);;28.11.2015
Dictionary;enforce;;принуждать, вынуждать (к чему-л.), заставлять, навязывать (кому-л.);to enforce rigidly, strictly, stringently — жёстко принуждать;28.11.2015
Dictionary;enjoy;;любить (что-л.), получать удовольствие (от чего-л.);Ross had always enjoyed the company of women. — Росс всегда любил общество женщин.;28.11.2015
Dictionary;enormous;;громадный, гигантский, обширный, огромный;an enormous fortune — несметное богатство;28.11.2015
Dictionary;enrol;;становиться членом (какой-л. организации), записываться, вступать в члены (какой-л. организации);The small boy wanted to enrol in the youth club, but he was too young. — Мальчик хотел записаться в молодёжный клуб, но он был слишком мал.;28.11.2015
Dictionary;ensure;;гарантировать, обеспечивать, ручаться застраховаться, обезопасить себя (от чего-л.);We will ensure equal opportunities for all. — Мы твёрдо намерены обеспечить равные возможности для всех.;28.11.2015
Dictionary;entire;;полный, совершенный;;28.11.2015
Dictionary;equal;;равный, одинаковый, идентичный, равносильный, тождественный (in, to);of equal rank — в одинаковом чине;28.11.2015
Dictionary;equally;;равно, в равной степени, равным образом, одинаково;equally accessible — тех. равнодоступный;28.11.2015
Dictionary;essay;;испытание, опробование, опыт, проба, проверка, тест;to write an essay about, on — писать эссе о;28.11.2015
Dictionary;establish;;учреждать;to establish a committee — учреждать комитет;28.11.2015
Dictionary;establishing;;порождение, создание, установление, учреждение;;28.11.2015
Dictionary;evaluate;;оценивать, устанавливать стоимость, определять количество;to evaluate data — оценивать данные;28.11.2015
Dictionary;eventually;;в конечном счете, в итоге, в конце концов, со временем;;28.11.2015
Dictionary;ever;;всегда, вечно, постоянно, неизменно, в любое время;Longitude is ever measured from the intersection of the equator and ecliptic. — Долгота всегда измеряется от точки пересечения экватора с эклиптикой.;28.11.2015
Dictionary;exact;;точный, строгий;The poorer citizens were more exact in obedience and discipline. — Более бедные граждане были более послушны и дисциплинированы (букв. более пунктуальны в повиновении).;28.11.2015
Dictionary;exceed;;превышать, переступать пределы, границы, выходить за пределы;The arbitrators had exceeded their jurisdiction. — Арбитры превысили свои полномочия.;28.11.2015
Dictionary;excel;;превосходить, превышать, быть выше, сильнее, значительнее (в каком-л. отношении);to excel one's father — превзойти своего отца;28.11.2015
Dictionary;excellent;;отличный, отменный, превосходный, прекрасный;;28.11.2015
Dictionary;except;;исключать, изымать, элиминировать, тж. юр. отводить (свидетеля);I hope you do not except yourself? — Я надеюсь, вы себя не исключаете?;28.11.2015
Dictionary;excessive;;непомерный, чрезвычайный, чрезмерный, неумеренный, заядлый;;28.11.2015
Dictionary;excite;;призывать к деятельности, побуждать, стимулировать;It was a performance that could excite the hardest man to pity. — Это был спектакль, который даже у самого сурового человека мог вызвать чувство жалости.;28.11.2015
Dictionary;excitement;[ɪkˈsaɪtmənt, ek-];возбуждение, волнение (about, at, over);to arouse, create, stir up excitement — возбуждать волнение;28.11.2015
Dictionary;exclamation;;восклицание;mark of exclamation — восклицательный знак - !;28.11.2015
Dictionary;exclude;;исключать, не впускать, не допускать (возможности и т. п.);to exclude smb. from a house — отказать кому-л. от дома;28.11.2015
Dictionary;exclusion;;исключение (from);to the exclusion of — за исключением;28.11.2015
Dictionary;executive;;исполнительный, принадлежащий к структурам исполнительной власти;to go into executive session амер. — удаляться на закрытое заседание, совещание;28.11.2015
Dictionary;exempt;;человек, освобожденный от уплаты налогов или военной обязанности (а также пользующийся другими привилегиями и льготами);exempt from tax — освобожденный от налога;28.11.2015
Dictionary;expand;;растягивать(ся), расширять(ся), увеличивать(ся) в объеме, в размерах;The object of this gymnastic exercise is to expand the chest. — Цель этого упражнения растягивать мышцы грудной клетки.;28.11.2015
Dictionary;expansion;;увеличение , расширение (в размере, объеме, количестве), распространение, экспансия, рост, развитие;expansion of gases when heated — расширение газов при нагревании;28.11.2015
Dictionary;expect;;ждать, ожидать;We'll expect you for dinner on Thursday. — Мы ждем тебя на обед в четверг.;28.11.2015
Dictionary;expectance;;ожидание;;28.11.2015
Dictionary;explanation;;пояснение, разъяснение (факт, довод, for);to give, offer, provide an explanation — объяснять;28.11.2015
Dictionary;exploit;;деяние, подвиг, пользоваться, использовать, эксплуатировать;to perform an exploit — совершать подвиг;28.11.2015
Dictionary;explore;;исследовать, рассматривать, анализировать;to explore carefully, gingerly — тщательно / внимательно исследовать;28.11.2015
Dictionary;explosive;;взрывчатый, разрывной, взрывной (о снарядах, боеприпасах, веществах и т. д.);explosive force — взрывная сила;28.11.2015
Dictionary;expose;;делать видимым, обнажать, показывать, выставлять на показ;a smile, exposing a set of white teeth — улыбка, обнажающая белоснежные зубы;28.11.2015
Dictionary;extent;;пространство, протяжение, расстояние, протяженность, объем;in area extent — по площади;28.11.2015
Dictionary;extinguish;;гасить, ликвидировать (пожар), тушить;Hope for their safety was slowly extinguishing. — Надежда на то, что они в безопасности, постепенно угасала.;28.11.2015
Dictionary;extraordinary;;выдающийся, замечательный, исключительный, редкий;extraordinary beauty — редкая красота, исключительная красота;28.11.2015
Dictionary;extreme;;противоположность;the intermediate space between those extremes — промежуточное положение между этими двумя крайностями;28.11.2015
Dictionary;face up;;подкрашивать (чай);Every young father has to face up to his responsibilities. — Любой молодой отец должен быть готов принять на себя сответствующие обязанности.;28.11.2015
Dictionary;facility;;возможность, благоприятные условия, льготы;the facility or difficulty of understanding — легкость или трудность в понимании;28.11.2015
Dictionary;fail;;неудача, провал;It's the difference between a pass and a fail. — В этом разница между трояком и парой (на экзамене).;28.11.2015
Dictionary;failure;;неспособность, несостоятельность;power failure — отключение электричества;28.11.2015
Dictionary;fake;;бухта каната;fake fur — искусственный мех;28.11.2015
Dictionary;fall;;падение;to have, take a fall — падать;28.11.2015
Dictionary;fall down;;падать;The child has fallen down and hurt his knee. — Ребенок упал и ушиб колено.;28.11.2015
Dictionary;fall off;;отпадать, отваливаться;My top button has fallen off. — У меня оторвалась и упала верхняя пуговица.;28.11.2015
Dictionary;falsify;;искажать, представлять в ложном свете, вносить ложную информацию (куда-либо);He falsified the document by the substitution of a paragraph. — Он исказил документ, заменив в нем один параграф.;28.11.2015
Dictionary;fatal;;неминуемый, неизбежный, роковой, фатальный, неотвратимый;It would be fatal to hesitate. — Промедление смерти подобно.;28.11.2015
Dictionary;faultless;;безукоризненный, безупречный, совершенный;The admiral had been declared faultless. — Адмирал был объявлен невиновным.;28.11.2015
Dictionary;faulty;;неисправный, поврежденный, с изъяном (о предметах);faulty principles — ложные принципы;28.11.2015
Dictionary;favour;;расположение, благосклонность;to find favour with smb / in smb’s eyes / in the eyes of smb. — снискать, заслужить чье-либо расположение;28.11.2015
Dictionary;favourable;;благоприятный, благоприятствующий, подходящий, годный, удобный;favourable balance — эк. активный / благоприятный платежный баланс;28.11.2015
Dictionary;filthy;;запачканный, немытый, замаранный, нечистый;He was filthy and ragged. — Он был грязным, одетым в лохмотья.;28.11.2015
Dictionary;fit;;подходящий, годный, пригодный, соответствующий;to have, throw a fit — страдать от приступа;28.11.2015
Dictionary;fit in;;приспосабливать(ся), приноравливать(ся), подходить;I felt older than my friends, I couldn't fit in with people, and I couldn't trust anyone. — Я чувствовал себя старше своих друзей, я не мог приспобиться к людям и не мог ни на кого положиться.;28.11.2015
Dictionary;flatly;;плоско, ровно;The roof was very flatly arched. — Крыша была слегка изогнута.;28.11.2015
Dictionary;flatter;;(about, on) льстить;I flatter myself that this campaign will put an end to the war. — Я тешу себя надеждой, что эта операция положит конец войне.;28.11.2015
Dictionary;flood;;наводнение, потоп, половодье, паводок, разлив;a raging flood — сильное наводнение;28.11.2015
Dictionary;fluid;;текучая среда (жидкость или газ);the ballerina's fluid movements — плавные движения балерины;28.11.2015
Dictionary;for a change;;для разнообразия;;28.11.2015
Dictionary;for a while;;на время;;28.11.2015
Dictionary;foreword;;введение, вступление, предисловие;;28.11.2015
Dictionary;formally;;официально, формально;;28.11.2015
Dictionary;formerly;;когда-то, прежде, раньше, некогда;;28.11.2015
Dictionary;fortify;;укреплять, воен. укреплять, сооружать укрепление;Have some hot soup to fortify you against the cold. — Поешь горячего супа, это убережет тебя от простуды.;28.11.2015
Dictionary;frequent;;частый, часто встречающийся, повторяющийся, обычный;;28.11.2015
Dictionary;frightened;;испуганный;frightened at the very thought — пугающийся от одной только мысли;28.11.2015
Dictionary;frustrate;[frʌˈstreɪt];расстраивать, срывать (планы), делать тщетным, бесполезным, препятствовать, мешать;He was frustrated to find no support among his friends. — Он был разочарован, не встретив поддержки у друзей.;28.11.2015
Dictionary;fuel;;топливо, бензин;nuclear fuel — ядерное горючее, ядерное топливо;28.11.2015
Dictionary;fulfil;;выполнять, делать, исполнять, осуществлять, совершать;to fulfil the quota — выполнять норму;28.11.2015
Dictionary;function;;назначение, функция;to fulfill a function, perform a function — выполнять функцию;28.11.2015
Dictionary;fundamental;;основной, коренной, базисный, главный, существенный;fundamental distinction — основное различие;28.11.2015
Dictionary;further;;сравн. ст. от far 1.;further volumes to the previous edition — дополнительные тома к предыдущему изданию;28.11.2015
Dictionary;fuss;[fʌs];возражение, протест, несогласие;to kick up a fuss — поднимать суматоху / шум / скандал, шуметь, бузить;28.11.2015
Dictionary;garbage;;(кухонные) отбросы, остатки, гниющий мусор;to collect, pick up the garbage — собирать мусор;28.11.2015
Dictionary;generate;;вызывать, порождать, рождать;;28.11.2015
Dictionary;geologist;;геолог;;28.11.2015
Dictionary;get along;;жить, обходиться;I'll get along somehow — я уж как-нибудь устроюсь;28.11.2015
Dictionary;goods;;товар, товары;durable goods — товары длительного пользования;28.11.2015
Dictionary;gracefully;;грациозно, изящно, элегантно;See how gracefully it erects its majestic head! — Посмотри, как грациозно она поднимает свою величавую голову!;28.11.2015
Dictionary;gross;;большой, крупный, толстый, тучный;The man was so gross he could hardly get through the door. — Мужчина был такой толстый, что едва мог протиснуться в дверь.;28.11.2015
Dictionary;growth;;развитие, рост;to foster growth, promote growth — благоприятствовать развитию;28.11.2015
Dictionary;habitation;;житье, проживание, жительство;The house is unfit for human habitation. — Дом непригоден для проживания в нем людей.;28.11.2015
Dictionary;halt;;остановка, прекращение;to call a halt — требовать остановки;28.11.2015
Dictionary;happily;;успешно, удачно, счастливо;She was happily married. — Она была счастлива в браке.;28.11.2015
Dictionary;harmony;;гармония, созвучие;harmony of the spheres — гармония сфер;28.11.2015
Dictionary;haste;;поспешность, торопливость, спешка;to be in (no) haste — (не) спешить;28.11.2015
Dictionary;havoc;;опустошение, разорение, разрушение;to cry havoc — сеять смуту;28.11.2015
Dictionary;helpmate;;помощник, помощница, товарищ, подруга, компаньон (обыкн. о муже или жене);She addressed her amiable helpmate. — Она обратилась к своему любезному мужу.;28.11.2015
Dictionary;hence;;отсюда, прочь;to go hence — умереть;28.11.2015
Dictionary;hibernation;;зимняя спячка;;28.11.2015
Dictionary;hire;;наем, прокат;for hire — внаем;28.11.2015
Dictionary;honoured;;уважаемый, заслуженный, почтенный;He was honoured to be invited. — Он заслужил, чтобы его пригласили.;28.11.2015
Dictionary;however;;как бы ни, однако, тем не менее, несмотря на (э)то;;28.11.2015
Dictionary;humidity;;сырость, влажность, влага, мокрота;;28.11.2015
Dictionary;hurricane;;ураган, тропический циклон;severe, violent hurricane — сильный ураган;28.11.2015
Dictionary;identifiable;;опознаваемый;;28.11.2015
Dictionary;identify;;(identify with) устанавливать тождество, отождествлять (что-л.) с (чем-л.);Voters tend to identify the Party with unfair treatment of poorer and weaker members of society, which is unfortunate. — Избиратели отождествляют политику партии с нечестным обращением с бедными, это плохо сказывается на рейтинге.;28.11.2015
Dictionary;identity;;идентичность, тождество, одинаковость, тождественность;to establish smb.'s identity — установить чью-л. личность;28.11.2015
Dictionary;illiteracy;;неграмотность, безграмотность, малограмотность, некомпетентность;to eliminate, stamp out illiteracy — ликвидировать неграмотность;28.11.2015
Dictionary;illiterate;;неграмотный (человек);She had to teach a class of illiterates. — Ей пришлось преподавать в классе, где не умели ни читать, ни писать.;28.11.2015
Dictionary;immaterial;;имеющий нематериальную природу, состоящий не из материальной субстанции, невещественный, бестелесный, бесплотный, духовный, душевный;demons, ghosts, witches, and other immaterial and supernatural agents — злые духи, привидения, ведьмы и другие нематериальные и сверхъестественные существа;28.11.2015
Dictionary;immense;[ɪˈmen(t)s];безмерный, очень большой, огромный;the immense and boundless universe — бескрайняя и бесконечная вселенная;28.11.2015
Dictionary;immensely;;безмерно, весьма, очень, сильно, чрезвычайно;;28.11.2015
Dictionary;immigrate;;иммигрировать, переселяться;to immigrate from one country in(to) another — переселиться из одной страны в другую;28.11.2015
Dictionary;immobilize;[ɪˈməub(ə)laɪz];делать неподвижным, фиксировать в неподвижном состоянии, мешать свободному движению (чего-л.), останавливать, сковывать (движение и т. п.);The planes were immobilized by bad weather. — Самолеты не могли лететь из-за плохой погоды.;28.11.2015
Dictionary;immunization;;иммунизация, вакцинация;to carry out a (mass) immunization against — проводить (массовые) прививки против;28.11.2015
Dictionary;implausible;;невероятный, невозможный;;28.11.2015
Dictionary;impracticable;;невозможный, невыполнимый, неисполнимый, неосуществимый, несбыточный, нереальный, нереалистичный;Cliffs so steep as to be perfectly impracticable. — Скалы настолько крутые, что совершенно недоступны;28.11.2015
Dictionary;impressive;;производящий глубокое впечатление, впечатляющий, выразительный;impressive speech — яркая речь;28.11.2015
Dictionary;improper;;неподходящий, непригодный, неуместный (to, for);It is improper to wear such a short skirt to so formal occasion. — Неприлично надевать такую короткую юбку по такому официальному случаю.;28.11.2015
Dictionary;impure;;нечистый, грязный, загрязненный;impure thoughts — грязные мысли;28.11.2015
Dictionary;in (the )whole;;в целом, целиком;;28.11.2015
Dictionary;in addition;;в добавление, к тому же, сверх, кроме того;;28.11.2015
Dictionary;in advance;;перед, впереди;Hutton was in advance of the geological speculation of his time. (Huxley) — Хаттен был впереди геологических теорий своего времени.;28.11.2015
Dictionary;in common;;короткометражный фильм, короткая телепередача;;28.11.2015
Dictionary;in fact;;фактически, на самом деле, в действительности, по сути, в сущности, на поверку;;28.11.2015
Dictionary;in general;;вообще;;28.11.2015
Dictionary;in order;;амер. надлежащим образом;;28.11.2015
Dictionary;in order to;;для того, чтобы;;28.11.2015
Dictionary;inactive;;инертный, пассивный, бездействующий, вялый, малоподвижный;;28.11.2015
Dictionary;increasingly;;все больше и больше, в большей степени, в большей мере;;28.11.2015
Dictionary;indecipherable;;не поддающийся расшифровке;;28.11.2015
Dictionary;indeed;;в самом деле, действительно, конечно, несомненно;yes, indeed — да, да!, ну да!;28.11.2015
Dictionary;individualism;;индивидуализм;;28.11.2015
Dictionary;industrious;;прилежный, работящий, старательный, трудолюбивый, усердный;;28.11.2015
Dictionary;industry;;индустрия, промышленность, производство;to build up, develop (an) industry — развивать промышленность;28.11.2015
Dictionary;ineffective;;безрезультатный, не производящий или не достигающий эффекта, бесплодный;The community has a special duty to the old, the weak, and the ineffective. — Общество несет имеет особые обязательства по отношению к старикам, слабым и инвалидам.;28.11.2015
Dictionary;infiltrate;;пропускать (жидкость) через фильтр, фильтровать;The soldiers infiltrated into / through the enemy defences. — Солдаты просочились через вражеские заслоны.;28.11.2015
Dictionary;informed;;информированный, осведомленный (about);to keep smb. informed — осведомлять кого-л.;28.11.2015
Dictionary;inherit;;наследовать, унаследовать, перенять, быть, стать наследником;to inherit a fortune from an uncle — получить наследство от дяди;28.11.2015
Dictionary;inherited;;унаследованный, перенятый;;28.11.2015
Dictionary;initial;;начальный, исходный, отправной, первоначальный, начинающийся, зарождающийся;initial condition — мат. начальное условие;28.11.2015
Dictionary;injury;;вред, повреждение, порча, убыток, ущерб;to inflict (an) injury on — повредить (что-л., кому-л.);28.11.2015
Dictionary;innumerable;;бессчетный, бесчисленный, многочисленный, неисчислимый, несчетный;;28.11.2015
Dictionary;inquiry;;вопрос, запрос, расспрашивание, наведение справок;to conduct, make an inquiry — наводить справки;28.11.2015
Dictionary;insignificant;;незначительный, несущественный, пустяковый;;28.11.2015
Dictionary;instability;;неустойчивость;;28.11.2015
Dictionary;instead;;вместо, взамен;this will do instead — это годится взамен;28.11.2015
Dictionary;instruct;;учить, обучать;The college will need an additional teacher to instruct the boys in cooking. — Колледжу нужен дополнительный преподаватель кулинарии для мальчиков.;28.11.2015
Dictionary;instructive;;поучительный;It will be instructive to analyze the results. — Было бы полезно проанализировать результаты.;28.11.2015
Dictionary;insufficient;;недостаточный, несоответствующий, неподходящий, неудовлетворительный, неполный (for, in);It's insufficient to cite only one example. — Недостаточно привести только один пример.;28.11.2015
Dictionary;insurance;;страхование (against, on);to cancel insurance — аннулировать страховой полис;28.11.2015
Dictionary;intend;;намереваться (делать что-л.);the audience rose a new performance — публика с восторгом приняла новую пьесу;28.11.2015
Dictionary;intense;[ɪnˈten(t)s];крепкий, сильный, глубокий, значительный (о чувствах, ощущениях и т. д.);the excitement was intense — волнение было предельно сильным, intense pain — жгучая боль intense longing — пылкое желание;28.11.2015
Dictionary;intensify;;усиливать(ся), углублять(ся), укреплять(ся);;28.11.2015
Dictionary;intention;;намерение, стремление, цель, замысел;to announce, declare, state one's intention — заявить о своих намерениях;28.11.2015
Dictionary;interaction;;взаимодействие (among, between, with);the close interaction between the vegetable and animal worlds — тесное взаимодействие растительного и животного мира;28.11.2015
Dictionary;interfere;;уст. пересекаться, скрещиваться (в пространстве);They may interfere in elections by the use of corrupt means to bribe or intimidate the electors. — Они могут повлиять на исход выборов, используя средства коррупции, чтобы подкупить или запугать избирателей.;28.11.2015
Dictionary;intermission;;прерывание, задержка, остановка (действие);;28.11.2015
Dictionary;intimidate;;пугать, запугивать, устрашать (кого-л.), наводить страх, ужас (на кого-л.);The salesman intimidated the old lady into signing the paper. — Угрозами продавец заставил старуху подписать бумагу.;28.11.2015
Dictionary;introduction;;введение, предисловие (напр., к книге) нововведение;to serve as an introduction — служить вступлением;28.11.2015
Dictionary;intruder;;навязчивый, назойливый человек;I felt always like an intruder there. — Я всегда чувствовал себя там незванным гостем.;28.11.2015
Dictionary;investigate;;расследовать, получать сведения;;28.11.2015
Dictionary;investigation;;расследование, следствие (into, of);to launch an investigation into charges of corruption — начать расследование по обвинению в коррупции;28.11.2015
Dictionary;investment;;инвестирование, вложение денег, капитала;to make an investment — инвестировать, вкладывать фонды, капиталы;28.11.2015
Dictionary;invoice;;счет, фактура, счет-фактура (счет на отправленный товар с указанием краткой спецификации, цены, расходов и других подробностей контракта);to issue an invoice — выписывать счет;28.11.2015
Dictionary;involuntary;;невольный, ненамеренный, непреднамеренный;involuntary weeping — невольные слезы;28.11.2015
Dictionary;involve;;втягивать, вовлекать;to involve smb. in a project — вовлекать кого-л. в проект;28.11.2015
Dictionary;jerk;;резкое движение, толчок;with a jerk — рывком;28.11.2015
Dictionary;judge;;сокр. - J. судья;fair, impartial judge — непредубежденный, объективный судья;28.11.2015
Dictionary;kidnap;;похищать человека (с целью получить выкуп);;28.11.2015
Dictionary;laborious;;трудный, тяжелый, напряженный, утомительный;;28.11.2015
Dictionary;lack;;недостаток, нужда, отсутствие (чего-л.);for lack of — из-за нехватки;28.11.2015
